id;name;latitude;longitude
1;Bourg-en-Bresse;46.2055; 5.2288
2;Laon;49.563889; 3.624444
3;Moulins;46.56527; 3.333333
4;Digne-les-Bains;44.0933333333; 6.23638888889
5;Gap;44.5594444444; 6.07861111111
6;Nice;43.695949; 7.271413
7;Privas;44.7358333333;4.6 
8;Charleville-Mézières;49.771911;4.716122
9;Foix;42.966389;1.60777
10;Troyes;48.297419;4.074263
11;Carcassone; 43.21306;2.352028 
12;Rodez;44.3505555556 ;2.575 
13;Marseille;43.296346 ; 5.369889
14;Caen;49.182222 ;-0.370556 
15;Aurillac;44.9261111;2.44055556 
16;Angoulême; 45.6489;0.1608 
17;La Rochelle;46.160037 ;-1.1499596 
18;Bourges;47.0844444444 ;2.39638888889 
19;Tulle; 45.267336; 1.765537
20;Ajaccio;41.92667 ; 8.73694 
21;Dijon;47.32167 ; 5.04139
22;Saint-Brieuc;48.513611 ;-2.765277
23;Guéret; 46.171389; 1.869167
24;Périgueux;45.18399; 0.715783
25;Besançon; 47.24306; 6.02194
26;Valence; 44.9333333333; 4.89166666667
27;Évreux; 49.0587;1.1489 
28;Chartres; 48.455847; 1.484184
29;Quimper; 47.996667; -4.096389
30;Nîmes; 43.8377777778; 4.36083333333
31;Toulouse; 43.604482; 1.443962
32;Auch; 43.6465;0.5855
33;Bordeaux; 44.837912; -0.579541
34;Montpellier; 43.611944444444; 3.8772222222222
35;Rennes; 48.114722; -1.679444
36;Châteauroux; 46.8102777778; 1.69111111111
37;Tours; 47.393611; 0.689167
38;Grenoble; 45.187778; 5.726945
39;Lons-le-saunier; 46.6752777778; 5.55444444444
40;Mont-de-marsan; 43.89138888889; -0.49944444444
41;Blois; 47.593889; 1.328056
42;Saint-Etienne; 45.434722; 4.390278
43;Le Puy-en-Velay; 45.0441666667; 3.88583333333
44;Nantes; 47.21806; -1.55278
45;Orléans; 47.9025; 1.909
46;Cahors; 44.448333; 1.441389
47;Agen; 44.204931; 0.621153
48;Mende; 44.51944; 3.50139
49;Angers; 47.47361;-0.55416 
50;Saint-Lô; 49.114444;-1.091667
51;Châlons-en-Champagne; 48.9575; 4.365
52;Chaumont; 48.1116666667; 5.13888888889
53;Laval; 48.072778; -0.77
54;Nancy; 48.6936; 6.1846
55;Bar-le-Duc; 48.771944; 5.160278
56;Vannes;47.6559 ; -2.7603 
57;Metz; 49.1203; 6.1778
58;Nevers; 46.992899; 3.161659
59;Lille; 50.637222; 3.063333
60;Beauvais; 49.430278; 2.0952
61;Alençon; 48.429722; 0.091944
62;Arras; 50.2897222222; 2.78083333333
63;Clermont-Ferrand; 45.783088; 3.082352
64;Pau; 43.3017; -0.3686
65;Tarbes; 43.2307; 0.0726
66;Perpignan; 42.698611; 2.895556
67;Strasbourg; 48.573392; 7.752353
68;Colmar; 48.08166667; 7.35555556
69;Lyon; 45.759723; 4.842223
70;Vesoul; 47.623055; 6.155833
71;Mâcon; 46.3062; 4.8313
72;Le Mans; 48.004167; 0.196944
73;Chambéry; 45.5; 5.9118
74;Annecy; 45.916; 6.133
75;Paris; 48.856578; 2.351828
76;Rouen; 49.443232; 1.099971
77;Melun; 48.5405555556; 2.66
78;Versailles; 48.8053; 2.135
79;Niort; 46.3258333333; -0.460555556
80;Amiens; 49.894293; 2.295736
81;Albi; 43.928889; 2.146389
82;Montauban; 44.018056; 1.355833
83;Toulon; 43.1222; 5.93
84;Avignon; 43.95; 4.817
85;La Roche-sur-Yon; 46.669378;-1.418722 
86;Poitiers; 46.581945; 0.336112
87;Limoges; 45.85; 1.25
88;Épinal; 48.1744; 6.4512
89;Auxerre; 47.7986; 3.5672
90;Belfort; 47.637942; 6.862813
91;Évry; 48.623832; 2.4295664
92;Nanterre; 48.891919; 2.2073
93;Bobigny; 48.9106; 2.4397
94;Créteil; 48.791111; 2.462778
95;Cergy; 49.0361111111; 2.06305555556